Sequence No,Originating Sequence No,Item Number,locdiv,Stock Loc ID,Date/Time,Transaction ID,User Number,Transaction Qty
25735,,FOB-293454-AJ,PYUDQ,DTOB,2022-09-09,INVDIVDIV,User_5,1712
62313,,CHDZ-321655-K,PYUDQ,DTOB,2022-08-07,INVDIVDIV,User_5,4529
78183,,BOZV-2273-H,OJVBY,DTOB,2022-06-28,INVDIVDIV,User_4,1933
81189,,DH-4311-MK,PYUDQ,DTOB,2022-07-07,INVDIVDIV,User_4,4324
86177,,ZOJKP-4657-II,SMOKL,DTOB,2022-03-18,INVDIVDIV,User_1,4934
74075,,ZR-40573-G,WVCQG,DTOB,2022-03-12,INVDIVDIV,User_3,4934
77974,,GI-306-C,BSCZA,DTOB,2022-07-11,INVDIVDIV,User_4,2365
41796,,CWKLO-39307-Q,WGFQB,DTOB,2022-11-12,INVDIVDIV,User_3,4496
55378,,YF-35881-L,YVNTE,DTOB,2022-05-24,INVDIVDIV,User_5,2269
35698,,DH-4311-MK,WVXFD,DTOB,2022-09-15,INVDIVDIV,User_4,2269
15417,,AA-36771-H,YVNTE,DTOB,2022-09-23,INVDIVDIV,User_4,2389
23457,,EVPKN-316-DF,SOYPS,DTOB,2022-02-23,INVDIVDIV,User_2,1932
89329,,FG-722708-CG,PYUDQ,DTOB,2022-01-10,INVDIVDIV,User_1,2389
40007,,YBDDP-688102-BA,SOYPS,DTOB,2022-05-20,INVDIVDIV,User_5,3871
20578,,COF-35281-L,IAOYV,DTOB,2022-03-17,INVDIVDIV,User_5,1427
93826,,UXSER-2645-G,IAOYV,DTOB,2022-07-29,INVDIVDIV,User_2,4171
64643,,YJGKVW-813-K,SOYPS,DTOB,2022-06-25,INVDIVDIV,User_5,2462
92792,,CZJ-5246-QE,XTLBB,DTOB,2022-12-03,INVDIVDIV,User_5,2556
33297,,AA-36771-H,VBZLO,DTOB,2022-05-01,INVDIVDIV,User_2,1427
78664,,FG-722708-CG,XTLBB,DTOB,2022-12-09,INVDIVDIV,User_2,2933
34916,,OYTQQV-5627-II,SMOKL,DTOB,2022-10-28,INVDIVDIV,User_1,3636
75959,,STH-316-C,OYXPB,DTOB,2022-06-10,INVDIVDIV,User_3,1135
69914,,ZXT-0324-V,WVXFD,DTOB,2022-01-10,INVDIVDIV,User_1,2360
16298,,FOB-293454-AJ,PYUDQ,DTOB,2022-12-16,INVDIVDIV,User_5,1427
47856,,YF-35881-L,SOYPS,DTOB,2022-08-07,INVDIVDIV,User_2,837
73987,25735.0,FOB-293454-AJ,SOYPS,DTIB,2022-09-08,INVDIVDIV,User_5,1712
58851,62313.0,CHDZ-321655-K,OJVBY,DTIB,2022-09-16,INVDIVDIV,User_5,4529
92798,78183.0,BOZV-2273-H,XTLBB,DTIB,2022-04-16,INVDIVDIV,User_4,1933
58900,81189.0,DH-4311-MK,XTLBB,DTIB,2022-08-28,INVDIVDIV,User_4,4324
31413,86177.0,ZOJKP-4657-II,SOYPS,DTIB,2022-05-03,INVDIVDIV,User_1,4934
10605,74075.0,ZR-40573-G,PYUDQ,DTIB,2022-11-12,INVDIVDIV,User_3,4934
99136,77974.0,GI-306-C,SMOKL,DTIB,2022-10-05,INVDIVDIV,User_4,2365
75385,41796.0,CWKLO-39307-Q,OJVBY,DTIB,2022-03-13,INVDIVDIV,User_3,4496
38287,55378.0,YF-35881-L,OQTUL,DTIB,2022-03-30,INVDIVDIV,User_5,2269
69837,35698.0,DH-4311-MK,SMOKL,DTIB,2022-10-15,INVDIVDIV,User_4,2269
92479,15417.0,AA-36771-H,PYUDQ,DTIB,2022-06-25,INVDIVDIV,User_4,2389
81421,23457.0,EVPKN-316-DF,WGFQB,DTIB,2022-10-11,INVDIVDIV,User_2,1932
68164,89329.0,FG-722708-CG,YVNTE,DTIB,2022-11-21,INVDIVDIV,User_1,2389
64632,40007.0,YBDDP-688102-BA,WGYXO,DTIB,2022-11-12,INVDIVDIV,User_5,3871
96456,20578.0,COF-35281-L,BMHAB,DTIB,2022-11-08,INVDIVDIV,User_5,1427
19949,93826.0,UXSER-2645-G,BSCZA,DTIB,2022-05-30,INVDIVDIV,User_2,4171
75146,64643.0,YJGKVW-813-K,OJVBY,DTIB,2022-05-08,INVDIVDIV,User_5,2462
58603,92792.0,CZJ-5246-QE,PYUDQ,DTIB,2022-09-01,INVDIVDIV,User_5,2556
10144,33297.0,AA-36771-H,WVXFD,DTIB,2022-02-24,INVDIVDIV,User_2,1427
52024,78664.0,FG-722708-CG,BSCZA,DTIB,2022-05-14,INVDIVDIV,User_2,2933
45476,34916.0,OYTQQV-5627-II,PYUDQ,DTIB,2022-05-29,INVDIVDIV,User_1,3636
12314,75959.0,STH-316-C,WGYXO,DTIB,2022-10-02,INVDIVDIV,User_3,1135
90642,69914.0,ZXT-0324-V,XTLBB,DTIB,2022-12-04,INVDIVDIV,User_1,2360
82661,16298.0,FOB-293454-AJ,WVXFD,DTIB,2022-02-01,INVDIVDIV,User_5,1427
26578,47856.0,YF-35881-L,PYUDQ,DTIB,2022-06-20,INVDIVDIV,User_2,837
