PO Line: Name,Item: Name,Division,Qty Received,"Qty Remaining, PO Line",Dock Date,Item: PO Commodity Code
PO-4900000134-35,DCEEHL-5009-EF,SOYPS,821,0,2022-07-04,
PO-4900000137-35,UNNUY-6254-F,SOYPS,1776,0,2022-10-16,
PO-4900000876-24,BOZV-31316-K,SOYPS,1884,0,2022-01-26,
PO-4900000137-24,YXU-30794-BS,SOYPS,1746,0,2022-01-03,
PO-4900000473-23,OKUQ-536-P,SOYPS,4186,0,2022-12-23,
PO-4900000733-24,DF-306-BF,SOYPS,1324,0,2022-04-18,
PO-4900000473-77,YAMH-384-G,SOYPS,48,0,2022-08-25,
PO-4900000876-85,OKUQ-4805-CG,SOYPS,1592,0,2022-03-27,
PO-4900000598-95,FOB-5009-MK,SOYPS,3648,0,2022-11-02,
PO-4900000757-77,WXSEI-4805-I,SOYPS,2476,0,2022-03-10,
PO-4900000263-23,ZOJKP-5763-Y,SOYPS,686,0,2022-08-13,
PO-4900000263-66,OPNM-6737-AJ,SOYPS,120,0,2022-04-05,
PO-4900000134-23,ZG-316-Y,SOYPS,639,0,2022-03-15,
PO-4900000544-77,COF-35281-L,SOYPS,2504,0,2022-03-27,
PO-4900000713-85,IDX-14300-WK,SOYPS,2522,0,2022-12-13,
PO-4900000137-95,NGRCVV-15244-MK,SOYPS,2650,0,2022-03-24,
PO-4900000733-75,NNLU-557618-BA,SOYPS,247,0,2022-10-29,
PO-4900000713-95,HP-316-EF,SOYPS,2509,0,2022-04-17,
PO-4900000713-37,EVPKN-316-DF,SOYPS,469,0,2022-08-18,
PO-4900000458-23,OKUQ-4223-QL,SOYPS,4450,0,2022-05-12,
PO-4900000137-38,TDDWMP-458-L,SOYPS,4228,0,2022-08-16,
PO-4900000137-77,IMYU-73673-RN,SOYPS,2246,0,2022-02-12,
PO-4900000134-37,GVE-321655-DF,SOYPS,1953,0,2022-06-08,
PO-4900000733-23,DCC-65302-YG,SOYPS,4208,0,2022-05-19,
PO-4900000757-23,NWU-5246-Q,SOYPS,2320,0,2022-03-06,
PO-4900000356-23,CZJ-73673-BU,SOYPS,3346,0,2022-09-10,
PO-4900000134-43,BRUJ-872846-BF,SOYPS,2813,0,2022-05-16,
PO-4900000544-38,DH-4311-MK,SOYPS,4554,0,2022-06-16,
PO-4900000757-37,DCBCH-5553-YU,SOYPS,3603,0,2022-03-11,
PO-4900000252-77,EWPWNO-4311-GH,SOYPS,4653,0,2022-12-09,
PO-4900000134-38,CWKLO-39307-Q,SOYPS,3385,0,2022-09-11,
PO-4900000252-23,UXSER-40573-TN,SOYPS,122,0,2022-01-30,
PO-4900000356-95,COF-8485-WP,SOYPS,3236,0,2022-04-21,
PO-4900000544-75,UXSER-2645-G,SOYPS,3326,0,2022-05-17,
PO-4900000473-66,NMRR-585-TN,SOYPS,1953,0,2022-12-07,
PO-4900000733-94,KNBYLA-4223-P,SOYPS,2870,0,2022-10-29,
PO-4900000876-77,CHDZ-321655-K,SOYPS,3531,0,2022-11-10,
PO-4900000263-95,IESALD-766972-L,SOYPS,2076,0,2022-10-12,
PO-4900000473-94,QIGK-36771-Q,SOYPS,3358,0,2022-04-09,
PO-4900000626-85,CZJ-5246-QE,SOYPS,2737,0,2022-12-30,
PO-4900000598-24,HLKTY-446004-RN,SOYPS,1363,0,2022-08-05,
PO-4900000458-66,CWKLO-766972-QE,SOYPS,4477,0,2022-04-20,
PO-4900000544-94,OJUB-17046-H,SOYPS,3078,0,2022-03-11,
PO-4900000713-43,QDT-535873-L,SOYPS,3155,0,2022-01-11,
PO-4900000252-37,WXSEI-11325-GH,SOYPS,1209,0,2022-06-22,
PO-4900000757-43,FOB-293454-AJ,SOYPS,4424,0,2022-11-19,
PO-4900000733-66,OIQUL-152-AJ,SOYPS,3866,0,2022-10-27,
PO-4900000876-43,WNBME-35281-K,SOYPS,3300,0,2022-04-20,
PO-4900000458-24,FG-585-BU,SOYPS,3511,0,2022-11-22,
PO-4900000134-94,NNLU-107-I,SOYPS,3963,0,2022-09-14,
PO-4900000458-95,ITVB-0324-G,SOYPS,4012,0,2022-10-24,
